@RELATION pnts-dense
@ATTRIBUTE root~0~6~0~combined NUMERIC
@ATTRIBUTE gas_tank~1~6~0~combined NUMERIC
@ATTRIBUTE handle~2~6~0~combined NUMERIC
@ATTRIBUTE light~3~6~0~combined NUMERIC
@ATTRIBUTE seat~4~6~0~combined NUMERIC
@ATTRIBUTE whyeel~5~6~0~combined NUMERIC
@ATTRIBUTE other...~6~6~0~combined NUMERIC
@DATA
0.00,0.13,0.11,0.17,0.14,0.70,0.00
0.00,0.14,0.12,0.18,0.15,0.72,0.00
0.00,0.43,0.14,0.20,0.49,0.13,0.00
0.00,0.20,0.18,0.27,0.22,0.35,0.00
0.00,0.16,0.15,0.21,0.18,0.15,0.15
0.00,0.66,0.43,0.64,0.53,0.39,0.00
0.00,0.08,0.08,0.11,0.09,0.11,0.52
0.00,0.13,0.12,0.18,0.15,0.66,0.00
0.00,0.61,0.21,0.30,0.38,0.19,0.00
0.00,0.17,0.15,0.23,0.19,0.97,0.00
0.00,0.26,0.23,0.34,0.27,0.22,0.00
0.00,0.21,0.19,0.28,0.23,0.25,0.00
0.00,0.25,0.23,0.34,0.28,0.33,0.00
0.00,0.49,0.21,0.31,0.30,0.20,0.00
0.00,0.47,0.42,0.62,0.55,0.39,0.00
0.00,0.09,0.07,0.10,0.32,0.07,0.35
0.00,0.22,0.20,0.30,0.25,0.49,0.00
0.00,0.10,0.09,0.14,0.11,1.00,0.00
0.00,0.23,0.11,0.16,0.42,0.11,0.00
0.00,0.24,0.22,0.32,0.28,0.85,0.00
0.00,0.17,0.16,0.23,0.19,0.91,0.00
0.00,0.61,0.36,0.52,0.43,0.32,0.00
0.00,0.13,0.11,0.17,0.14,0.91,0.00
0.00,0.11,0.10,0.15,0.12,1.00,0.00
0.00,0.27,0.25,0.36,0.30,0.71,0.00
0.00,0.22,0.20,0.29,0.25,0.73,0.00
0.00,0.48,0.29,0.42,0.38,0.26,0.00
0.00,0.27,0.24,0.36,0.29,0.91,0.00
