@RELATION pnts-dense
@ATTRIBUTE root NUMERIC
@ATTRIBUTE wheel NUMERIC
@ATTRIBUTE other NUMERIC
@DATA
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,1,0
-1,-1,-1
0,0,0
0,0,0
0,1,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,1,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,1,0
0,1,0
-1,-1,-1
0,3,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,1,0
0,0,0
0,0,0
0,1,0
0,1,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,1,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,1,0
0,1,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,2.5,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,1,0
0,1,0
0,0,0
0,2.5,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,1,0
0,1,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,1,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,3,0
-1,-1,-1
0,0,0
0,1,0
0,0,0
-1,-1,-1
-1,-1,-1
0,1,0
